ANNO,CDPELL,CDSOTSEZ,CDGRUPAR,DATAACC,ACCONTO,NRRICEV,TIMESTP
2008,73,04,000198,20080712,  -130.00,663/A    ,20080714134938667
2008,73,17,000017,20080628,   335.00,727      ,20080804084459000
2008,73,17,000017,20080717,   350.00,914      ,20080725085514671
2008,73,17,000040,20080522,   210.00,556      ,20080529205508117
2008,73,17,000040,20080610,   420.00,628      ,20080610203450522
2008,73,17,000040,20080611,   670.00,632      ,20080612120409260
2008,73,17,000040,20080617,   905.00,671      ,20080617180331233
2008,73,17,000080,20080717,   210.00,903      ,20080722163110155
2008,73,17,000113,20080509,   470.00,494      ,20080510140009466
2008,73,17,000113,20080717,   105.00,905      ,20080724142405839
2008,73,17,000113,20080718,   235.00,910      ,20080725084158552
2008,73,17,000120,20080624,   335.00,699      ,20080729231854873
2008,73,17,000120,20080625,   335.00,700      ,20080729232152501
2008,73,17,000191,20080619,   350.00,677      ,20080619183307360
2008,73,17,000191,20080623,   335.00,695      ,20080628185851704
2008,73,17,000191,20080628,   235.00,902      ,20080901101049827
2008,73,17,000196,20080614,  1585.00,643      ,20080616081641934
2008,73,17,000196,20081117,   335.00,banca    ,20081117153606737
2008,73,17,000214,20080624,   335.00,698      ,20080628185639228
2008,73,17,000237,20080426,   335.00,455      ,20080427134350183
2008,73,17,000237,20080612,   670.00,638      ,20080613080201777
2008,73,17,000237,20080714,   210.00,853      ,20080714120408517
2008,73,17,000258,20080617,   210.00,667      ,20080617144639026
2008,73,17,000258,20080628,   235.00,723      ,20080628180537852
2008,73,17,000258,20080717,    80.00,908      ,20080724142613501
2008,73,17,000261,20080624,   335.00,703      ,20080628185217812
2008,73,17,000261,20080717,   315.00,913      ,20080725084653889
2008,73,17,000264,20070717,   335.00,909      ,20080725084114113
2008,73,17,000265,20080626,   335.00,711      ,20080729230015088
2008,73,17,000265,20080717,   670.00,904      ,20080722163451075
2008,73,17,000265,20080919,   235.00,1236     ,20081003114201330
