ANNO,CDPELL,CDSOCMZ,FLSETT,CDCTRA,QTCTRA,CDCPER,QTCPER,CDCRID,QTCRID,CDCALT,QTCALT,CDSERV,TMESTP
2007,07,000001326,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822175219281
2007,07,000001330,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822180328421
2007,07,000001335,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070822174939765
2007,07,000001336,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822175116406
2007,07,000001337,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822175248781
2007,07,000001343,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524102409796
2007,07,000001349,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20071116151612797
2007,07,000001365,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20071116152538810
2007,07,000001367,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524110317453
2007,07,000001372,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070901103210078
2007,07,000001381,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822150112140
2007,07,000001419,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822154759656
2007,07,000001447,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524102745781
2007,07,000001451,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524102707843
2007,07,000001453,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524102622609
2007,07,000001454,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070901103128187
2007,07,000001472,2,0,0.00,1,105.00,0,0.00,0,0.00,02,20070704192914343
2007,07,000001477,2,0,0.00,1,105.00,0,0.00,0,0.00,02,20080109182104786
2007,07,000001507,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524112156375
