ANNO,CDPELL,CDBUS,FLAGAR,POSTO,CDSOCMZ,TMESTP
2007,08,1,A,025,000001351,20070719174516171
2007,08,1,A,026,000001544,20070719174529890
2007,08,1,A,027,000001409,20070719174544671
2007,08,1,A,028,000002022,20070719174723343
2007,08,1,A,029,000001512,20070719174925453
2007,08,1,A,030,000002021,20070719175119531
2007,08,1,A,031,000002209,20070719175136375
2007,08,1,A,032,000001427,20070719175239046
2007,08,1,A,033,000001428,20070719175254640
2007,08,1,A,035,000001418,20070719181244781
2007,08,1,A,036,000001162,20070726183343000
2007,08,1,A,037,000001161,20070726183347375
2007,08,1,A,038,000001163,20070726183355718
2007,08,1,R,001,000001500,20070719171226859
2007,08,1,R,003,000001245,20070719171406765
2007,08,1,R,005,000001146,20070719173452171
2007,08,1,R,006,000001267,20070719173509187
2007,08,1,R,008,000001093,20070719173923593
2007,08,1,R,009,000002675,20070719173937031
2007,08,1,R,010,000001434,20070719174158140
2007,08,1,R,011,000001095,20070719174210359
2007,08,1,R,012,000001357,20070719174234796
2007,08,1,R,014,000001143,20070719174306437
2007,08,1,R,015,000001543,20070719174411671
2007,08,1,R,016,000001416,20070719174427703
2007,08,1,R,018,000002678,20070719174442531
2007,08,1,R,020,000001351,20070719174516171
2007,08,1,R,021,000001544,20070719174529890
2007,08,1,R,022,000001409,20070719174544671
2007,08,1,R,023,000002022,20070719174723343
2007,08,1,R,024,000001512,20070719174925453
2007,08,1,R,025,000002021,20070719175119531
2007,08,1,R,026,000002209,20070719175136375
2007,08,1,R,027,000001427,20070719175239062
2007,08,1,R,028,000001428,20070719175254640
2007,08,1,R,029,000001418,20070719181244781
2007,08,1,R,030,000001162,20070726183343031
2007,08,1,R,031,000001161,20070726183347375
2007,08,1,R,032,000001163,20070726183355718
2007,08,2,A,001,000001706,20070719175313890
2007,08,2,A,003,000001705,20070719175347828
2007,08,2,A,004,000001200,20070719175404562
2007,08,2,A,005,000002877,20070719175412531
2007,08,2,A,006,000002142,20070719175436281
2007,08,2,A,007,000001252,20070719175441937
2007,08,2,A,010,000002215,20070719175528015
2007,08,2,A,011,000002146,20070719175534500
2007,08,2,A,012,000002878,20070719175547140
2007,08,2,A,015,000001080,20070719175629140
